Control_ID,Family_Name,Assessment_Status,Justification_Notes
IR-18(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-18(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-19,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-19(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-19(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-20,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-20(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-20(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-21,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-21(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-21(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-22,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-22(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-22(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-23,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-23(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-23(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-24,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-24(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-24(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-25,Incident Response,Pass,Supported by Google SOC and specialized AI safety teams.
IR-25(1),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
IR-25(2),Incident Response Enhancement,Pass,Enhancement requirement: Supported by Google SOC and specialized AI safety teams.
MA-1,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-1(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-1(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-2,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-2(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-2(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-3,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-3(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-3(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-4,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-4(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-4(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-5,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-5(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-5(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-6,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-6(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-6(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-7,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-7(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-7(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-8,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-8(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-8(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-9,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-9(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-9(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-10,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-10(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-10(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-11,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-11(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-11(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-12,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-12(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-12(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-13,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-13(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-13(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-14,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-14(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-14(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-15,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-15(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-15(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-16,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-16(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-16(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-17,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-17(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-17(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-18,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-18(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-18(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-19,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-19(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-19(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-20,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-20(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-20(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-21,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-21(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-21(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-22,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-22(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-22(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-23,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-23(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-23(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-24,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-24(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-24(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-25,Maintenance,Pass,Inherited: Google handles hardware/firmware maintenance.
MA-25(1),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MA-25(2),Maintenance Enhancement,Pass,Enhancement requirement: Inherited: Google handles hardware/firmware maintenance.
MP-1,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-1(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-1(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-2,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-2(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-2(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-3,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-3(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-3(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-4,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-4(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-4(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-5,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-5(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-5(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-6,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-6(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-6(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-7,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-7(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-7(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-8,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-8(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-8(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-9,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-9(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-9(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-10,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-10(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-10(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-11,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-11(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-11(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-12,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-12(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-12(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-13,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-13(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-13(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-14,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-14(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-14(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-15,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-15(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-15(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-16,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-16(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-16(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-17,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-17(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-17(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-18,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-18(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-18(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-19,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-19(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-19(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-20,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-20(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-20(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-21,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-21(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-21(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-22,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-22(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-22(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-23,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-23(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-23(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-24,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-24(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-24(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-25,Media Protection,Pass,Inherited: Cryptographic erasure and physical shredding.
MP-25(1),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
MP-25(2),Media Protection Enhancement,Pass,Enhancement requirement: Inherited: Cryptographic erasure and physical shredding.
PE-1,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-1(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-1(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-2,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-2(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-2(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-3,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-3(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-3(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-4,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-4(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-4(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-5,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-5(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-5(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-6,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-6(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-6(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-7,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-7(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-7(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-8,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-8(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-8(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-9,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-9(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-9(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-10,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-10(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-10(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-11,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-11(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-11(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-12,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-12(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-12(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-13,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-13(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-13(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-14,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-14(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-14(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-15,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-15(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-15(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-16,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-16(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-16(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-17,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-17(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-17(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-18,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-18(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-18(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-19,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-19(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-19(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-20,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-20(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-20(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-21,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-21(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-21(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-22,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-22(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-22(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-23,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-23(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-23(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-24,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-24(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-24(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-25,Physical and Environmental Protection,Pass,Inherited: World-class data center physical security.
PE-25(1),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PE-25(2),Physical and Environmental Protection Enhancement,Pass,Enhancement requirement: Inherited: World-class data center physical security.
PL-1,Planning,Pass,Comprehensive SSP and Rules of Behavior documented.
PL-1(1),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-1(2),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-2,Planning,Pass,Comprehensive SSP and Rules of Behavior documented.
PL-2(1),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-2(2),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-3,Planning,Pass,Comprehensive SSP and Rules of Behavior documented.
PL-3(1),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-3(2),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-4,Planning,Pass,Comprehensive SSP and Rules of Behavior documented.
PL-4(1),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-4(2),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-5,Planning,Pass,Comprehensive SSP and Rules of Behavior documented.
PL-5(1),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-5(2),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-6,Planning,Pass,Comprehensive SSP and Rules of Behavior documented.
PL-6(1),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-6(2),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-7,Planning,Pass,Comprehensive SSP and Rules of Behavior documented.
PL-7(1),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-7(2),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-8,Planning,Pass,Comprehensive SSP and Rules of Behavior documented.
PL-8(1),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-8(2),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-9,Planning,Pass,Comprehensive SSP and Rules of Behavior documented.
PL-9(1),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-9(2),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-10,Planning,Pass,Comprehensive SSP and Rules of Behavior documented.
PL-10(1),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-10(2),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-11,Planning,Pass,Comprehensive SSP and Rules of Behavior documented.
PL-11(1),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-11(2),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-12,Planning,Pass,Comprehensive SSP and Rules of Behavior documented.
PL-12(1),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-12(2),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-13,Planning,Pass,Comprehensive SSP and Rules of Behavior documented.
PL-13(1),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-13(2),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-14,Planning,Pass,Comprehensive SSP and Rules of Behavior documented.
PL-14(1),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-14(2),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-15,Planning,Pass,Comprehensive SSP and Rules of Behavior documented.
PL-15(1),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-15(2),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-16,Planning,Pass,Comprehensive SSP and Rules of Behavior documented.
PL-16(1),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-16(2),Planning Enhancement,Pass,Enhancement requirement: Comprehensive SSP and Rules of Behavior documented.
PL-17,Planning,Pass,Comprehensive SSP and Rules of Behavior documented.
